,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather
135,sigmoid,128,han,0.4,64,1.2376720326623873e-05,8,4,10,0.0,0.8648148148148148,0.5,0.6929520964622498,136,13389.848507165909,13917.129209280014
136,relu,64,han,0.0,64,1.393452494871002e-05,6,8,10,0.0,0.5425925925925926,0.446613475697398,92.68844604492188,135,13381.967133522034,13996.382974386215
137,relu,64,han,0.0,64,2.0381521421183547e-05,8,4,9,0.0,0.8648148148148148,0.5,74.8346939086914,138,13460.199276685717,14051.841683864594
138,tanh,64,han,0.0,64,2.7985588395369632e-05,8,1,10,1e-05,0.1351851851851851,0.5,19.287578582763672,137,13413.499192237854,14064.186052799225
139,sigmoid,128,hgt,0.4,64,1.9119752300677684e-05,8,2,6,0.0,0.6240740740740741,0.6208530110586372,0.6636163592338562,139,13746.832769870758,14256.09463095665
140,elu,64,han,0.0,128,2.169742671070034e-05,8,1,10,0.0,0.1351851851851851,0.5,1070.6031494140625,142,13845.68126821518,14462.878088235855
141,leakyrelu,32,han,0.4,16,0.0082776315518095,2,4,10,1e-05,0.4574074074074074,0.5533865243026018,0.687135636806488,141,13750.66335463524,14558.864602565764
142,relu,128,han,0.3,64,1.888704136432569e-05,6,4,10,0.0,0.8648148148148148,0.5,0.6919981837272644,146,14065.5810880661,14582.3470184803
143,tanh,64,han,0.0,64,1.726075898854239e-05,8,8,9,0.0,0.1351851851851851,0.5,10.18490505218506,145,14053.295222043993,14639.892345666884
144,tanh,256,han,0.0,128,2.1754137677856903e-05,1,2,9,0.0,0.4574074074074074,0.5533865243026018,54.49237823486328,147,14257.429661750792,14703.281097650528
145,relu,32,hgt,0.0,256,0.0036093933624082,3,2,9,0.0,0.6537037037037037,0.6264263295297879,0.6680904030799866,143,13918.455184698105,14708.179651260376
146,sigmoid,32,hgt,0.0,32,0.0029041702698427,3,1,9,0.0,0.6537037037037037,0.6264263295297879,0.666998028755188,144,13997.541090011597,14785.311728477478
147,relu,16,han,0.3,16,1.920678423227449e-05,2,8,10,5e-05,0.8648148148148148,0.5,1.3797584772109983,140,13749.276781320572,14950.646297693253
148,tanh,128,han,0.0,256,3.728367846186449e-05,5,1,10,0.0,0.1351851851851851,0.5,969.77392578125,149,14560.123515605928,15073.303989887238
149,tanh,256,han,0.0,16,2.909866567039067e-05,6,2,10,0.0,0.4574074074074074,0.5533865243026018,2054.92822265625,151,14641.403733730316,15079.05221939087
150,sigmoid,64,han,0.3,128,2.225300154164956e-05,3,2,10,0.0001,0.4574074074074074,0.5533865243026018,0.6915435194969177,150,14583.745957136154,15211.283251523972
151,relu,32,han,0.5,16,8.90169317989173e-05,3,2,10,0.0,0.8648148148148148,0.5,0.6941515207290649,148,14464.120272397997,15294.461333990095
152,tanh,64,han,0.0,64,2.111890842630185e-05,2,4,10,5e-05,0.4574074074074074,0.5533865243026018,49.41905975341797,152,14704.650615930555,15330.742958784103
153,sigmoid,64,han,0.0,64,1.5225046324095351e-05,8,2,8,0.0,0.1351851851851851,0.5,24.557716369628903,155,14951.86448097229,15537.512826919556
154,tanh,32,han,0.4,16,1.3267685965473472e-05,2,2,10,0.0,0.8648148148148148,0.5,0.6969981789588928,154,14786.7076523304,15597.20322394371
155,sigmoid,64,hgt,0.0,32,0.0002662084535888,2,2,9,5e-05,0.6537037037037037,0.6264263295297879,0.6872384548187256,157,15080.36481332779,15703.871419906616
156,leakyrelu,64,hgt,0.0,128,0.0025836495721436,3,2,7,5e-05,0.6537037037037037,0.6264263295297879,0.6648580431938171,156,15074.901706933975,15735.69497680664
157,sigmoid,128,han,0.0,16,1.029989359623748e-05,8,2,10,0.0,0.1351851851851851,0.5,554.51611328125,158,15212.601966142654,15761.072466611862
158,elu,16,hgt,0.0,256,0.0077109033228197,3,1,3,1e-05,0.6537037037037037,0.6264263295297879,1.2438727021217346,153,14709.890479803084,15764.660897254944
159,elu,64,hgt,0.0,32,2.1839616116627503e-05,1,1,8,0.0,0.6537037037037037,0.6264263295297879,0.6648448705673218,159,15295.895559549332,15932.330881357191
160,tanh,256,hgt,0.1,64,1.9934897184384225e-05,8,4,10,0.0,0.3648148148148148,0.5865331025783931,0.6748111248016357,161,15538.8970143795,16032.679779529572
161,elu,32,hgt,0.0,256,0.0049902756848273,1,2,8,0.0,0.6537037037037037,0.6264263295297879,0.6683017611503601,160,15331.909627199171,16126.539916992188
162,tanh,256,hgt,0.1,64,1.0887602403493958e-05,8,2,10,1e-05,0.3648148148148148,0.5865331025783931,0.6701515316963196,163,15705.46989774704,16154.504308223724
163,relu,64,hgt,0.0,32,0.0053752247914398,2,1,6,5e-05,0.6240740740740741,0.6208530110586372,0.6633423566818237,166,15766.164039611816,16353.94219470024
164,elu,64,han,0.4,32,1.8666722713535383e-05,3,2,10,0.0,0.8648148148148148,0.5,0.7062576413154602,165,15762.349243164062,16392.500623226166
